company_id,name,created_at,updated_at,domain_id
3076,㈜비전스페이스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3077,㈜다원링크,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3078,㈜아레스3,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3079,㈜자리 코퍼레이션,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3080,㈜어썸좋은생각,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3081,㈜빌드잇,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3082,㈜쿡섬,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3083,NPLEY(엔플레이),2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3084,정소프트,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3085,㈜공감데이터,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3086,(주)스마트로,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3087,㈜트랜스코스모스코리아,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3088,아시아나IDT㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3089,㈜어니스트플라워,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3090,㈜가치플레이,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3091,에스케이쉴더스㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3092,㈜미네르바소프트,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3093,주식회사쇼우몰,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3094,푸른IT,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3095,레피소드㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3096,㈜씽클레어,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3097,지엘아이에스㈜(그리스),2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3098,C&C KOREA,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3099,에스오씨(SOC),2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3100,㈜쿠로엔시스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3101,㈜팸글로벌,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3102,㈜에이솔,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3103,벤티바㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3104,로반,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3105,㈜오픈메이트,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3106,와이케이엑스엑스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3107,㈜테일크루,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3108,㈜티웍스아이앤씨,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3109,㈜와이메이커,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3110,㈜인피닉,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3111,㈜벰로보틱스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3112,로민,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3113,위즈덤마인드㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3114,노빌더,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3115,㈜콘텐츠브릿지,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3116,유닉솔루션㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3117,㈜바토스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3118,주식회사 그레타,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3119,달다구리㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3120,주식회사 플라잉닥터,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3121,㈜멋쟁이사자처럼,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3122,㈜어센트코리아,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3123,500미터,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3124,㈜더파티,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3125,마이데이터,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3126,㈜넥스트코드,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3127,지디트레이드(GD TRADE),2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3128,효성ITX㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3129,㈜쉬즈본,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3130,웹에이전시 애드인소프트(애드인메이커),2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3131,㈜정데이타시스템,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3132,㈜아이엔에스시스템,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3133,노틸러스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3134,㈜라이토즈,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3135,㈜테르텐,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3136,서흥이앤팩,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3137,㈜코리아퍼스텍,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3138,㈜이엑서비션,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3139,㈜프라이데이즈랩,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3140,㈜베스티아소프트,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3141,디깅미인터내셔널,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3142,㈜굿씽크,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3143,㈜디와이즈,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3144,㈜유앤유컴즈,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3145,㈜오엔인베스트먼트,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3146,㈜아이이에이,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3147,㈜씨엔씨네트웍스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3148,㈜인투워크,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3149,㈜윈탑정보,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3150,샤인소프트,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3151,동국시스템즈㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3152,㈜이노컴즈,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3153,㈜엔키아,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3154,한스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3155,㈜고우아이티,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3156,㈜네이블,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3157,㈜하몬소프트,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3158,㈜케어비즈,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3159,㈜엘로이큐브,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3160,제이지티소프트,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3161,㈜서인시스템,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3162,㈜디아이티,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3163,네오사피엔스 주식회사,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3164,㈜메타몬스터,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3165,엠와이제이 (MYJ),2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3166,파인브이티,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3167,주식회사 빗썸,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3168,㈜마곳간,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3169,㈜키플코퍼레이션,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3170,㈜한컴즈,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3171,㈜퓨처헬스코퍼레이션,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3172,㈜애니테일,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3173,더솔트,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3174,㈜이쓰리피에스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3175,어니컴㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3176,㈜애버커스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3177,㈜클루닉스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3178,아이피아,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3179,코코아플러스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3180,위메이드,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3181,소프트윈텍,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3182,뉴윈텍㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3183,㈜캐롯아이,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3184,브라더스비㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3185,주식회사 리얼링크,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3186,㈜주인정보시스템,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3187,㈜필립오토서비스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3188,도디스㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3189,㈜씨브이네트,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3190,나날에스엠아이㈜,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3191,㈜리오커머스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3192,㈜마이스탈,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3193,㈜구단주,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3194,㈜지우다이나믹시스템,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3195,㈜에이엑스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3196,㈜그린잇,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3197,㈜더 핸즈,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3198,㈜인피테크,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
3199,㈜정호디에스,2026-03-17 09:23:53,2026-03-17 09:23:53,10007
